line_id	line
179	things, Defects may take the form of incomplete, inaccurate or
180	corrupt data, transcription errors, a copyright or other
181	intellectual property infringement, a defective or damaged
182	disk or other etext medium, a computer virus, or computer
183	codes that damage or cannot be read by your equipment.
184	
185	LIMITED WARRANTY; DISCLAIMER OF DAMAGES
186	But for the Right of Replacement or Refund described below,
187	[1] the Project (and any other party you may receive this
188	etext from as a PROJECT GUTENBERG-tm etext) disclaims all
189	liability to you for damages, costs and expenses, including
190	legal fees, and [2] YOU HAVE NO REMEDIES FOR NEGLIGENCE OR
191	UNDER STRICT LIABILITY, OR FOR BREACH OF WARRANTY OR CONTRACT,
192	INCLUDING BUT NOT LIMITED TO INDIRECT, CONSEQUENTIAL, PUNITIVE
193	OR INCIDENTAL DAMAGES, EVEN IF YOU GIVE NOTICE OF THE
194	POSSIBILITY OF SUCH DAMAGES.
195	
196	If you discover a Defect in this etext within 90 days of
197	receiving it, you can receive a refund of the money (if any)
198	you paid for it by sending an explanatory note within that
199	time to the person you received it from.  If you received it
200	on a physical medium, you must return it with your note, and
201	such person may choose to alternatively give you a replacement
202	copy.  If you received it electronically, such person may
203	choose to alternatively give you a second opportunity to
204	receive it electronically.
205	
206	THIS ETEXT IS OTHERWISE PROVIDED TO YOU AS-IS.  NO OTHER
207	WARRANTIES OF ANY KIND, EXPRESS OR IMPLIED, ARE MADE TO YOU AS
208	TO THE ETEXT OR ANY MEDIUM IT MAY BE ON, INCLUDING BUT NOT
209	LIMITED TO WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A
210	PARTICULAR PURPOSE.
211	
212	Some states do not allow disclaimers of implied warranties or
213	the exclusion or limitation of consequential damages, so the
214	above disclaimers and exclusions may not apply to you, and you
215	may have other legal rights.
216	
217	INDEMNITY
218	You will indemnify and hold the Project, its directors,
219	officers, members and agents harmless from all liability, cost
220	and expense, including legal fees, that arise directly or
221	indirectly from any of the following that you do or cause:
222	[1] distribution of this etext, [2] alteration, modification,
223	or addition to the etext, or [3] any Defect.
224	
225	DISTRIBUTION UNDER PROJECT GUTENBERG-tm
226	You may distribute copies of this etext electronically, or by
227	disk, book or any other medium if you either delete this
228	Small Print! and all other references to Project Gutenberg,
229	or:
230	
231	[1]  Only give exact copies of it.  Among other things, this
232	     requires that you do not remove, alter or modify the
233	     etext or this small print! statement.  You may however,
234	     if you wish, distribute this etext in machine readable
235	     binary, compressed, mark-up, or proprietary form,
236	     including any form resulting from conversion by word pro-
237	     cessing or hypertext software, but only so long as
238	     *EITHER*:
239	
240	     [*]  The etext, when displayed, is clearly readable, and
241	          does *not* contain characters other than those
242	          intended by the author of the work, although tilde
243	          (~), asterisk (*) and underline (_) characters may
244	          be used to convey punctuation intended by the
245	          author, and additional characters may be used to
246	          indicate hypertext links; OR
247	
248	     [*]  The etext may be readily converted by the reader at
249	          no expense into plain ASCII, EBCDIC or equivalent
250	          form by the program that displays the etext (as is
251	          the case, for instance, with most word processors);
252	          OR
253	
254	     [*]  You provide, or agree to also provide on request at
255	          no additional cost, fee or expense, a copy of the
256	          etext in its original plain ASCII form (or in EBCDIC
257	          or other equivalent proprietary form).
258	
259	[2]  Honor the etext refund and replacement provisions of this
260	     Small Print! statement.
261	
262	[3]  Pay a trademark license fee to the Project of 20% of the
263	     net profits you derive calculated using the method you
264	     already use to calculate your applicable taxes.  If you
265	     don't derive profits, no royalty is due.  Royalties are
266	"     payable to Project Gutenberg Association/Carnegie-Mellon
     University within the 60 days following each"
267	     date you prepare (or were legally required to prepare)
268	     your annual (or equivalent periodic) tax return.
269	
270	WHAT IF YOU *WANT* TO SEND MONEY EVEN IF YOU DON'T HAVE TO?
271	The Project gratefully accepts contributions in money, time,
272	scanning machines, OCR software, public domain etexts, royalty
273	free copyright licenses, and every other sort of contribution
274	"you can think of.  Money should be paid to Project Gutenberg
Association / Carnegie-Mellon University."
275	
276	We are planning on making some changes in our donation structure
277	in 2000, so you might want to email me, hart@pobox.com beforehand.
278	
279	
280	
281	
282	*END THE SMALL PRINT! FOR PUBLIC DOMAIN ETEXTS*Ver.04.29.93*END*
283	
284	
285	
286	
287	
288	This etext was prepared by Daniel Lazarus and Jonesey
289	
290	
291	
292	
293	
294	Notes on this etext of Moby Dick:
295	
296	This text is a combination of etexts, one from the now-defunct ERIS
297	project at Virginia Tech and one from Project Gutenberg's archives.
298	The proofreaders of this version are indebted to The University of
299	Adelaide Library for preserving the Virginia Tech version.  The
300	resulting etext was compared with a public domain hard copy version of
301	the text.
302	
303	In chapters 24, 89, and 90, we substituted a capital L for the symbol
304	for the British pound, a unit of currency.
305	
306	
307	
308	
309	
310	MOBY DICK; OR THE WHALE 
311	
312	by Herman Melville
313	
314	
315	
316	
317	ETYMOLOGY.
318	
319	(Supplied by a Late Consumptive Usher to a Grammar School)
320	
321	The pale Usher--threadbare in coat, heart, body, and brain; I see him
322	now.  He was ever dusting his old lexicons and grammars, with a queer
323	handkerchief, mockingly embellished with all the gay flags of all the
324	known nations of the world.  He loved to dust his old grammars; it
325	somehow mildly reminded him of his mortality.
326	
327	"While you take in hand to school others, and to teach them by what
name a whale-fish is to be called in our tongue leaving out, through
ignorance, the letter H, which almost alone maketh the signification
of the word, you deliver that which is not true. --HACKLUYT"
328	
329	"WHALE. ... Sw. and Dan. HVAL.  This animal is named from roundness
or rolling; for in Dan. HVALT is arched or vaulted. --WEBSTER'S"
330	DICTIONARY
331	
332	"WHALE. ... It is more immediately from the Dut. and Ger. WALLEN;
A.S. WALW-IAN, to roll, to wallow. --RICHARDSON'S DICTIONARY"
333	
334	KETOS,               GREEK.
335	CETUS,               LATIN.
336	WHOEL,               ANGLO-SAXON.
337	HVALT,               DANISH.
338	WAL,                 DUTCH.
339	HWAL,                SWEDISH.
340	WHALE,               ICELANDIC.
341	WHALE,               ENGLISH.
342	BALEINE,             FRENCH.
343	BALLENA,             SPANISH.
344	PEKEE-NUEE-NUEE,     FEGEE.
345	PEKEE-NUEE-NUEE,     ERROMANGOAN.
346	
347	
348	
349	
350	EXTRACTS (Supplied by a Sub-Sub-Librarian).
351	
352	It will be seen that this mere painstaking burrower and grub-worm of
353	a poor devil of a Sub-Sub appears to have gone through the long
354	Vaticans and street-stalls of the earth, picking up whatever random
355	allusions to whales he could anyways find in any book whatsoever,
356	sacred or profane.  Therefore you must not, in every case at least,
357	take the higgledy-piggledy whale statements, however authentic, in
358	these extracts, for veritable gospel cetology.  Far from it.  As
359	touching the ancient authors generally, as well as the poets here
360	appearing, these extracts are solely valuable or entertaining, as
361	affording a glancing bird's eye view of what has been promiscuously
362	said, thought, fancied, and sung of Leviathan, by many nations and
363	generations, including our own.
364	
365	So fare thee well, poor devil of a Sub-Sub, whose commentator I am.
366	Thou belongest to that hopeless, sallow tribe which no wine of this
367	world will ever warm; and for whom even Pale Sherry would be too
368	rosy-strong; but with whom one sometimes loves to sit, and feel
369	poor-devilish, too; and grow convivial upon tears; and say to them
370	bluntly, with full eyes and empty glasses, and in not altogether
371	unpleasant sadness--Give it up, Sub-Subs!  For by how much the more
372	pains ye take to please the world, by so much the more shall ye for
373	ever go thankless!  Would that I could clear out Hampton Court and
374	the Tuileries for ye!  But gulp down your tears and hie aloft to the
375	royal-mast with your hearts; for your friends who have gone before
376	are clearing out the seven-storied heavens, and making refugees of
377	long-pampered Gabriel, Michael, and Raphael, against your coming.
378	Here ye strike but splintered hearts together--there, ye shall strike
379	unsplinterable glasses!
380	
381	
382	EXTRACTS.
383	
384	And God created great whales. --GENESIS.
385	
386	"Leviathan maketh a path to shine after him; One would think the deep
to be hoary. --JOB."
387	
388	Now the Lord had prepared a great fish to swallow up Jonah.
389	--JONAH.
390	
391	"There go the ships; there is that Leviathan whom thou hast made to
play therein. --PSALMS."
392	
393	"In that day, the Lord with his sore, and great, and strong sword,
shall punish Leviathan the piercing serpent, even Leviathan that
crooked serpent; and he shall slay the dragon that is in the sea."
394	--ISAIAH
395	
396	"And what thing soever besides cometh within the chaos of this
monster's mouth, be it beast, boat, or stone, down it goes all
incontinently that foul great swallow of his, and perisheth in the
bottomless gulf of his paunch. --HOLLAND'S PLUTARCH'S MORALS."
397	
398	"The Indian Sea breedeth the most and the biggest fishes that are:
among which the Whales and Whirlpooles called Balaene, take up as
much in length as four acres or arpens of land. --HOLLAND'S PLINY."
399	
400	"Scarcely had we proceeded two days on the sea, when about sunrise a
great many Whales and other monsters of the sea, appeared.  Among the
former, one was of a most monstrous size. ...  This came towards us,
open-mouthed, raising the waves on all sides, and beating the sea
before him into a foam. --TOOKE'S LUCIAN.  THE TRUE HISTORY."
401	
402	"He visited this country also with a view of catching horse-whales,
which had bones of very great value for their teeth, of which he
brought some to the king. ...  The best whales were catched in his
own country, of which some were forty-eight, some fifty yards long.
He said that he was one of six who had killed sixty in two days."
403	--OTHER OR OCTHER'S VERBAL NARRATIVE TAKEN DOWN FROM HIS MOUTH BY
404	KING ALFRED, A.D. 890.
405	
406	"And whereas all the other things, whether beast or vessel, that
enter into the dreadful gulf of this monster's (whale's) mouth, are
immediately lost and swallowed up, the sea-gudgeon retires into it in
great security, and there sleeps. --MONTAIGNE.  --APOLOGY FOR"
407	RAIMOND SEBOND.
408	
409	"Let us fly, let us fly!  Old Nick take me if is not Leviathan
described by the noble prophet Moses in the life of patient Job."
410	--RABELAIS.
411	
412	This whale's liver was two cartloads. --STOWE'S ANNALS.
413	
414	"The great Leviathan that maketh the seas to seethe like boiling
pan. --LORD BACON'S VERSION OF THE PSALMS."
415	
416	"Touching that monstrous bulk of the whale or ork we have received
nothing certain.  They grow exceeding fat, insomuch that an
incredible quantity of oil will be extracted out of one whale."
417	--IBID.  HISTORY OF LIFE AND DEATH.
418	
419	The sovereignest thing on earth is parmacetti for an inward bruise.
420	--KING HENRY.
421	
422	Very like a whale. --HAMLET.
423	
424	"Which to secure, no skill of leach's art
Mote him availle, but to returne againe
To his wound's worker, that with lowly dart,
Dinting his breast, had bred his restless paine,
Like as the wounded whale to shore flies thro' the maine."
425	--THE FAERIE QUEEN.
426	
427	"Immense as whales, the motion of whose vast bodies can in a peaceful
calm trouble the ocean til it boil. --SIR WILLIAM DAVENANT.  PREFACE"
428	TO GONDIBERT.
429	
430	"What spermacetti is, men might justly doubt, since the learned
Hosmannus in his work of thirty years, saith plainly, Nescio quid
sit. --SIR T. BROWNE.  OF SPERMA CETI AND THE SPERMA CETI WHALE."
431	VIDE HIS V. E.
432	
433	"Like Spencer's Talus with his modern flail
He threatens ruin with his ponderous tail.
...
Their fixed jav'lins in his side he wears,
And on his back a grove of pikes appears. --WALLER'S BATTLE OF THE"
434	SUMMER ISLANDS.
435	
436	"By art is created that great Leviathan, called a Commonwealth or
State--(in Latin, Civitas) which is but an artificial man. --OPENING"
437	SENTENCE OF HOBBES'S LEVIATHAN.
438	
439	"Silly Mansoul swallowed it without chewing, as if it had been a
sprat in the mouth of a whale. --PILGRIM'S PROGRESS."
440	
441	"That sea beast
Leviathan, which God of all his works
Created hugest that swim the ocean stream. --PARADISE LOST."
442	
443	"---There Leviathan,
Hugest of living creatures, in the deep
Stretched like a promontory sleeps or swims,
And seems a moving land; and at his gills
Draws in, and at his breath spouts out a sea. --IBID."
444	
445	"The mighty whales which swim in a sea of water, and have a sea of
oil swimming in them. --FULLLER'S PROFANE AND HOLY STATE."
446	
447	"So close behind some promontory lie
The huge Leviathan to attend their prey,
And give no chance, but swallow in the fry,
Which through their gaping jaws mistake the way."
448	--DRYDEN'S ANNUS MIRABILIS.
449	
450	"While the whale is floating at the stern of the ship, they cut off
his head, and tow it with a boat as near the shore as it will come;
but it will be aground in twelve or thirteen feet water. --THOMAS"
451	EDGE'S TEN VOYAGES TO SPITZBERGEN, IN PURCHAS.
452	
453	"In their way they saw many whales sporting in the ocean, and in
wantonness fuzzing up the water through their pipes and vents, which
nature has placed on their shoulders. --SIR T. HERBERT'S VOYAGES"
454	INTO ASIA AND AFRICA.  HARRIS COLL.
455	
456	"Here they saw such huge troops of whales, that they were forced to
proceed with a great deal of caution for fear they should run their
ship upon them. --SCHOUTEN'S SIXTH CIRCUMNAVIGATION."
457	
458	"We set sail from the Elbe, wind N.E. in the ship called The
Jonas-in-the-Whale. ...  Some say the whale can't open his mouth, but
that is a fable. ...  They frequently climb up the masts to see
whether they can see a whale, for the first discoverer has a ducat
for his pains. ...  I was told of a whale taken near Shetland, that
had above a barrel of herrings in his belly. ...  One of our
harpooneers told me that he caught once a whale in Spitzbergen that
was white all over. --A VOYAGE TO GREENLAND, A.D. 1671 HARRIS COLL."
459	
460	"Several whales have come in upon this coast (Fife) Anno 1652, one
eighty feet in length of the whale-bone kind came in, which (as I was
informed), besides a vast quantity of oil, did afford 500 weight of
baleen.  The jaws of it stand for a gate in the garden of Pitferren."
461	--SIBBALD'S FIFE AND KINROSS.
462	
463	"Myself have agreed to try whether I can master and kill this
Sperma-ceti whale, for I could never hear of any of that sort that
was killed by any man, such is his fierceness and swiftness."
464	--RICHARD STRAFFORD'S LETTER FROM THE BERMUDAS.  PHIL. TRANS.  A.D.
465	1668.
466	
467	Whales in the sea God's voice obey. --N. E. PRIMER.
468	
469	"We saw also abundance of large whales, there being more in those
southern seas, as I may say, by a hundred to one; than we have to the
northward of us. --CAPTAIN COWLEY'S VOYAGE ROUND THE GLOBE, A.D."
470	1729.
471	
472	"... and the breath of the whale is frequendy attended with such an
insupportable smell, as to bring on a disorder of the brain."
473	--ULLOA'S SOUTH AMERICA.
474	
475	"To fifty chosen sylphs of special note,
We trust the important charge, the petticoat.
Oft have we known that seven-fold fence to fail,
Tho' stuffed with hoops and armed with ribs of whale. --RAPE"
476	OF THE LOCK.
477	
478	"If we compare land animals in respect to magnitude, with those that
take up their abode in the deep, we shall find they will appear
contemptible in the comparison.  The whale is doubtless the largest
animal in creation. --GOLDSMITH, NAT. HIST."
479	
480	"If you should write a fable for little fishes, you would make them
speak like great wales. --GOLDSMITH TO JOHNSON."
481	
482	"In the afternoon we saw what was supposed to be a rock, but it was
found to be a dead whale, which some Asiatics had killed, and were
then towing ashore.  They seemed to endeavor to conceal themselves
behind the whale, in order to avoid being seen by us. --COOK'S"
483	VOYAGES.
484	
485	"The larger whales, they seldom venture to attack.  They stand in so
great dread of some of them, that when out at sea they are afraid to
mention even their names, and carry dung, lime-stone, juniper-wood,
and some other articles of the same nature in their boats, in order
to terrify and prevent their too near approach. --UNO VON TROIL'S"
486	LETTERS ON BANKS'S AND SOLANDER'S VOYAGE TO ICELAND IN 1772.
487	
488	"The Spermacetti Whale found by the Nantuckois, is an active, fierce
animal, and requires vast address and boldness in the fishermen."
489	--THOMAS JEFFERSON'S WHALE MEMORIAL TO THE FRENCH MINISTER IN 1778.
490	
491	And pray, sir, what in the world is equal to it? --EDMUND BURKE'S
492	REFERENCE IN PARLIAMENT TO THE NANTUCKET WHALE-FISHERY.
493	
494	Spain--a great whale stranded on the shores of Europe. --EDMUND
495	BURKE. (SOMEWHERE.)
496	
497	"A tenth branch of the king's ordinary revenue, said to be grounded
on the consideration of his guarding and protecting the seas from
pirates and robbers, is the right to royal fish, which are whale and
sturgeon.  And these, when either thrown ashore or caught near the
coast, are the property of the king. --BLACKSTONE."
498	
499	"Soon to the sport of death the crews repair:
Rodmond unerring o'er his head suspends
The barbed steel, and every turn attends."
500	--FALCONER'S SHIPWRECK.
501	
502	"Bright shone the roofs, the domes, the spires,
And rockets blew self driven,
To hang their momentary fire
Around the vault of heaven.

So fire with water to compare,"
503	The ocean serves on high,
504	Up-spouted by a whale in air,
505	"To express unwieldy joy. --COWPER, ON THE QUEEN'S
VISIT TO LONDON.

Ten or fifteen gallons of blood are thrown out of the heart at a"
506	"stroke, with immense velocity. --JOHN HUNTER'S ACCOUNT OF THE
DISSECTION OF A WHALE.  (A SMALL SIZED ONE.)

The aorta of a whale is larger in the bore than the main pipe of the"
507	water-works at London Bridge, and the water roaring in its passage
508	through that pipe is inferior in impetus and velocity to the blood
509	"gushing from the whale's heart. --PALEY'S THEOLOGY.

The whale is a mammiferous animal without hind feet. --BARON
CUVIER.

In 40 degrees south, we saw Spermacetti Whales, but did not take any"
510	"till the first of May, the sea being then covered with them.
--COLNETT'S VOYAGE FOR THE PURPOSE OF EXTENDING THE SPERMACETI WHALE
FISHERY.

In the free element beneath me swam,"
511	Floundered and dived, in play, in chace, in battle,
512	Fishes of every colour, form, and kind;
513	Which language cannot paint, and mariner
514	Had never seen; from dread Leviathan
515	To insect millions peopling every wave:
516	Gather'd in shoals immense, like floating islands,
517	Led by mysterious instincts through that waste
518	And trackless region, though on every side
519	Assaulted by voracious enemies,
520	Whales, sharks, and monsters, arm'd in front or jaw,
521	"With swords, saws, spiral horns, or hooked fangs.
--MONTGOMERY'S WORLD BEFORE THE FLOOD.

Io!  Paean!  Io! sing."
522	To the finny people's king.
523	Not a mightier whale than this
524	In the vast Atlantic is;
525	Not a fatter fish than he,
526	"Flounders round the Polar Sea. --CHARLES LAMB'S TRIUMPH OF THE
WHALE.

In the year 1690 some persons were on a high hill observing the"
527	whales spouting and sporting with each other, when one observed:
528	there--pointing to the sea--is a green pasture where our children's
529	"grand-children will go for bread. --OBED MACY'S HISTORY OF
NANTUCKET.

I built a cottage for Susan and myself and made a gateway in the"
530	"form of a Gothic Arch, by setting up a whale's jaw bones.
--HAWTHORNE'S TWICE TOLD TALES.

She came to bespeak a monument for her first love, who had been"
531	killed by a whale in the Pacific ocean, no less than forty years
532	"ago. --IBID.

No, Sir, 'tis a Right Whale, answered Tom; I saw his sprout; he"
533	threw up a pair of as pretty rainbows as a Christian would wish to
534	"look at.  He's a raal oil-butt, that fellow! --COOPER'S PILOT.

The papers were brought in, and we saw in the Berlin Gazette that"
535	"whales had been introduced on the stage there. --ECKERMANN'S
CONVERSATIONS WITH GOETHE.

My God!  Mr. Chace, what is the matter?  I answered, we have been"
536	stove by a whale. --NARRATIVE OF THE SHIPWRECK OF THE WHALE SHIP
537	ESSEX OF NANTUCKET, WHICH WAS ATTACKED AND FINALLY DESTROYED BY A
538	"LARGE SPERM WHALE IN THE PACIFIC OCEAN.  BY OWEN CHACE OF NANTUCKET,
FIRST MATE OF SAID VESSEL.  NEW YORK, 1821.

A mariner sat in the shrouds one night,"
539	The wind was piping free;
540	Now bright, now dimmed, was the moonlight pale,
541	And the phospher gleamed in the wake of the whale,
542	"As it floundered in the sea. --ELIZABETH OAKES SMITH.

The quantity of line withdrawn from the boats engaged in the capture"
543	of this one whale, amounted altogether to 10,440 yards or nearly six
544	English miles. ...
545	
546	"Sometimes the whale shakes its tremendous tail in the air, which,
cracking like a whip, resounds to the distance of three or four
miles. --SCORESBY."
547	
548	"Mad with the agonies he endures from these fresh attacks, the
infuriated Sperm Whale rolls over and over; he rears his enormous
head, and with wide expanded jaws snaps at everything around him; he
rushes at the boats with his head; they are propelled before him with
vast swiftness, and sometimes utterly destroyed. ...  It is a matter
of great astonishment that the consideration of the habits of so
interesting, and, in a commercial point of view, so important an
animal (as the Sperm Whale) should have been so entirely neglected,
or should have excited so little curiosity among the numerous, and
many of them competent observers, that of late years, must have
possessed the most abundant and the most convenient opportunities of
witnessing their habitudes. --THOMAS BEALE'S HISTORY OF THE SPERM"
549	WHALE, 1839.
550	
551	"The Cachalot (Sperm Whale) is not only better armed than the True
Whale (Greenland or Right Whale) in possessing a formidable weapon
at either extremity of its body, but also more frequently displays a
disposition to employ these weapons offensively and in manner at once
so artful, bold, and mischievous, as to lead to its being regarded as
the most dangerous to attack of all the known species of the whale
tribe. --FREDERICK DEBELL BENNETT'S WHALING VOYAGE ROUND THE GLOBE,"
552	1840.
553	
554	October 13.  There she blows, was sung out from the mast-head.
555	Where away? demanded the captain.
556	Three points off the lee bow, sir.
557	Raise up your wheel.  Steady!  Steady, sir.
558	Mast-head ahoy!  Do you see that whale now?
559	"Ay ay, sir!  A shoal of Sperm Whales!  There she blows!  There she
breaches!"
560	Sing out! sing out every time!
561	"Ay Ay, sir!  There she blows! there--there--THAR she
blows--bowes--bo-o-os!"
562	How far off?
563	Two miles and a half.
564	Thunder and lightning! so near!  Call all hands. --J. ROSS BROWNE'S
565	ETCHINGS OF A WHALING CRUIZE.  1846.
566	
567	"The Whale-ship Globe, on board of which vessel occurred the horrid
transactions we are about to relate, belonged to the island of
Nantucket. --NARRATIVE OF THE GLOBE, BY LAY AND HUSSEY SURVIVORS."
568	A.D. 1828.
569	
570	Being once pursued by a whale which he had wounded, he parried the
571	assault for some time with a lance; but the furious monster at length
572	rushed on the boat; himself and comrades only being preserved by
573	"leaping into the water when they saw the onset was inevitable.
--MISSIONARY JOURNAL OF TYERMAN AND BENNETT.

Nantucket itself, said Mr. Webster, is a very striking and"
574	peculiar portion of the National interest.  There is a population of
575	eight or nine thousand persons living here in the sea, adding largely
576	every year to the National wealth by the boldest and most persevering
577	"industry. --REPORT OF DANIEL WEBSTER'S SPEECH IN THE U.  S.  SENATE,
ON THE APPLICATION FOR THE ERECTION OF A BREAKWATER AT NANTUCKET.
1828.

The whale fell directly over him, and probably killed him in a"
578	moment. --THE WHALE AND HIS CAPTORS, OR THE WHALEMAN'S ADVENTURES
579	AND THE WHALE'S BIOGRAPHY, GATHERED ON THE HOMEWARD CRUISE OF THE
580	"COMMODORE PREBLE.  BY REV. HENRY T. CHEEVER.

If you make the least damn bit of noise, replied Samuel, I will"
581	"send you to hell. --LIFE OF SAMUEL COMSTOCK (THE MUTINEER), BY HIS
BROTHER, WILLIAM COMSTOCK.  ANOTHER VERSION OF THE WHALE-SHIP GLOBE
NARRATIVE.

The voyages of the Dutch and English to the Northern Ocean, in"
582	order, if possible, to discover a passage through it to India, though
583	"they failed of their main object, laid-open the haunts of the whale.
--MCCULLOCH'S COMMERCIAL DICTIONARY.

These things are reciprocal; the ball rebounds, only to bound"
